feature,importance
word_svd_3,1551
word_svd_22,1324
char_svd_8,1244
word_svd_6,1129
char_svd_4,1122
char_svd_34,1066
word_svd_5,1043
char_svd_2,962
char_svd_33,953
char_svd_15,932
word_svd_25,926
word_svd_1,907
word_svd_78,878
word_svd_36,877
char_svd_1,872
word_svd_30,868
char_svd_25,828
word_svd_190,827
word_svd_35,817
char_svd_5,812
char_svd_109,811
char_svd_14,781
word_svd_2,755
char_svd_12,746
char_svd_35,743
word_svd_101,729
word_svd_196,726
char_svd_54,722
word_svd_17,721
word_svd_42,714
char_svd_44,712
char_svd_111,710
punct_ratio,700
word_svd_53,697
char_svd_21,697
word_svd_7,692
char_svd_76,683
word_svd_37,682
char_svd_145,679
char_svd_55,678
char_svd_13,659
word_svd_159,654
word_svd_58,646
word_svd_122,645
char_svd_147,642
uppercase_ratio,636
char_svd_113,633
word_svd_39,633
std_word_len,630
char_svd_100,629
char_svd_6,628
word_svd_31,621
char_svd_136,619
word_svd_34,619
word_svd_184,617
char_svd_7,609
word_svd_41,606
word_svd_54,603
num_chars,602
word_svd_127,598
char_svd_58,595
char_svd_17,592
char_svd_56,589
char_svd_118,589
char_svd_41,584
char_svd_82,584
word_svd_67,580
char_svd_39,573
word_svd_33,570
word_svd_76,569
word_svd_24,568
char_svd_84,566
char_svd_73,565
char_svd_140,563
char_svd_29,562
word_svd_179,562
pos_neg_top_diff,561
word_svd_14,561
word_svd_49,559
char_svd_102,557
char_svd_3,556
word_svd_74,555
char_svd_52,554
word_svd_178,554
word_svd_57,554
word_svd_136,553
word_svd_12,552
word_svd_153,550
word_svd_81,548
word_svd_27,548
word_svd_98,543
class_1_top_match_ratio,541
char_svd_146,541
word_svd_61,533
punct_per_word,532
word_svd_131,531
space_ratio,530
unique_ratio,530
digit_ratio,527
word_svd_115,526
char_svd_18,525
word_svd_97,525
word_svd_72,524
word_svd_105,523
word_svd_186,522
avg_sentence_len_chars,522
word_svd_0,522
word_svd_198,521
word_svd_40,519
word_svd_29,516
char_svd_80,516
word_svd_77,516
num_negations,515
word_svd_93,514
char_svd_64,514
word_svd_176,513
word_svd_120,513
word_svd_47,510
char_svd_115,510
word_svd_192,510
char_svd_57,509
word_svd_168,507
char_svd_81,506
char_svd_49,505
word_svd_75,504
word_svd_119,503
char_svd_141,502
word_svd_70,502
word_svd_193,502
word_svd_125,501
char_svd_87,500
char_svd_59,499
word_svd_197,499
char_svd_45,498
char_svd_32,497
char_svd_16,497
char_svd_138,496
word_svd_166,495
word_svd_195,495
word_svd_18,495
word_svd_121,494
char_svd_28,494
word_svd_158,490
word_svd_84,488
char_svd_91,487
word_svd_182,486
char_svd_130,485
char_svd_114,485
word_svd_11,483
char_svd_37,482
char_svd_10,479
char_svd_96,478
word_svd_59,478
char_svd_122,478
word_svd_167,478
char_svd_133,477
char_svd_69,476
char_svd_148,476
word_svd_55,475
char_svd_38,475
word_svd_16,474
word_svd_15,473
char_svd_86,472
word_svd_94,471
word_svd_9,470
char_svd_75,469
word_svd_4,469
word_svd_160,469
char_svd_149,468
char_svd_125,467
word_svd_183,466
char_svd_90,466
word_svd_82,464
char_svd_11,464
char_svd_65,464
word_svd_19,463
char_svd_127,462
word_svd_155,462
char_svd_108,462
char_svd_143,461
word_svd_133,460
word_svd_126,460
word_svd_177,459
word_svd_191,459
char_svd_53,459
word_svd_152,459
word_svd_124,458
char_svd_116,457
avg_word_len,457
word_svd_62,455
char_svd_124,453
word_svd_10,453
char_svd_31,452
char_svd_67,452
word_svd_32,451
word_svd_45,451
char_svd_101,451
word_svd_146,450
char_svd_105,449
word_svd_162,448
char_svd_126,448
word_svd_143,447
word_svd_170,447
char_svd_135,446
char_svd_112,446
word_svd_26,445
word_svd_139,445
word_svd_156,445
char_svd_62,445
word_svd_194,445
word_svd_188,444
char_svd_27,444
char_svd_131,443
char_svd_43,443
char_svd_47,441
word_svd_43,440
char_svd_142,440
char_svd_79,440
char_svd_66,439
word_svd_165,439
word_svd_92,438
word_svd_175,438
char_svd_36,438
word_svd_164,438
word_svd_21,437
word_svd_48,435
char_svd_9,435
char_svd_71,433
char_svd_139,433
char_svd_68,432
word_svd_154,432
char_svd_137,431
word_svd_13,431
word_svd_90,430
word_svd_185,429
word_svd_107,429
word_svd_108,429
char_svd_83,428
char_svd_78,428
char_svd_92,428
char_svd_98,428
char_svd_60,427
char_svd_61,427
word_svd_96,426
word_svd_130,426
word_svd_157,426
char_svd_106,426
word_svd_163,425
char_svd_129,424
word_svd_50,423
word_svd_71,422
word_svd_28,422
char_svd_42,421
word_svd_68,420
char_svd_128,420
word_svd_180,420
char_svd_117,419
char_svd_132,419
word_svd_129,419
word_svd_189,417
word_svd_38,417
word_svd_64,415
word_svd_88,415
word_svd_52,414
word_svd_112,414
word_svd_20,414
char_svd_48,412
word_svd_199,412
word_svd_145,412
char_svd_50,411
char_svd_51,411
char_svd_46,410
word_svd_110,410
word_svd_148,409
word_svd_8,409
word_svd_138,409
char_svd_110,408
char_svd_85,408
word_svd_117,408
word_svd_187,407
char_svd_103,407
char_svd_26,406
char_svd_120,404
char_svd_119,403
char_svd_99,402
word_svd_147,402
word_svd_95,400
char_svd_123,400
char_svd_88,400
char_svd_144,399
char_svd_134,398
word_svd_85,397
char_svd_104,397
word_svd_149,397
char_svd_97,397
word_svd_102,395
word_svd_103,392
word_svd_44,391
char_svd_63,391
char_svd_0,391
word_svd_60,389
word_svd_109,389
word_svd_63,388
word_svd_150,388
word_svd_151,388
word_svd_118,387
char_svd_107,385
char_svd_93,385
char_svd_70,384
word_svd_66,384
char_svd_20,383
word_svd_86,382
word_svd_73,381
word_svd_134,381
word_svd_142,381
word_svd_144,380
word_svd_83,380
word_svd_137,380
word_svd_141,377
word_svd_174,376
avg_sentence_len_words,376
word_svd_140,375
char_svd_40,375
word_svd_65,375
char_svd_30,375
char_svd_74,374
char_svd_24,374
word_svd_113,373
word_svd_172,371
word_svd_181,371
char_svd_121,370
char_svd_77,370
char_svd_72,369
word_svd_80,368
word_svd_69,368
char_svd_95,367
word_svd_89,366
word_svd_46,365
word_svd_111,362
word_svd_51,361
word_svd_79,359
char_svd_94,358
word_svd_116,358
word_svd_56,358
word_svd_114,358
word_svd_171,356
word_svd_169,356
word_svd_135,355
word_svd_128,354
word_svd_106,354
word_svd_173,353
word_svd_132,352
word_svd_87,352
word_svd_161,351
word_svd_91,349
char_svd_89,347
word_svd_104,347
pos_words_per_word,344
word_svd_123,344
char_svd_23,337
word_svd_100,328
word_svd_99,327
char_svd_22,324
char_svd_19,324
word_svd_23,300
has_not_recommend,289
class_0_top_match_ratio,280
exclaims_per_word,240
class_-1_top_match_ratio,219
sentiment_lexicon_diff,204
avg_punct_per_sentence,190
num_spaces,176
repeat_chars_per_word,174
num_medium_words,173
neg_words_per_word,166
has_mismatch,159
lexicon_balance_ratio,156
num_digits,149
median_word_len,145
avg_exclaims_per_sentence,133
max_char_repeat,130
num_words_raw,129
num_brackets,126
has_strong_positive_phrase,125
num_uppercase_letters,118
num_punct,115
num_short_words,114
num_unique_words,113
class_0_top_match_count,91
num_long_words,90
has_recommend,88
num_exclaims,86
has_ellipsis,85
num_sentences,83
num_negative_words,80
class_-1_top_match_count,78
has_good_quality,78
class_0_top_unique_match_count,76
num_quality_words,72
num_dots,71
num_commas,69
questions_per_word,65
class_1_top_unique_match_count,60
num_mixed_punct,57
num_long_tokens_raw,52
class_1_top_match_count,50
num_positive_words,44
caps_per_word,44
num_intensifiers,36
class_-1_top_unique_match_count,35
max_caps_word_len,33
has_not_arrived,30
num_questions,24
num_repeated_chars,19
num_size_words,18
num_delivery_words,17
num_colons,13
num_newlines,9
has_refund,8
num_empty_like_fragments,8
num_caps_words,6
has_many_exclaims,6
has_liked,5
class_-1_has_top_word,3
num_quotes,2
