feature,importance
pos_neg_top_diff,0.14426102
num_negations,0.029493697
sentiment_lexicon_diff,0.019452082
char_svd_1,0.017497484
lexicon_balance_ratio,0.015453352
pos_words_per_word,0.01496023
exclaims_per_word,0.014433934
word_svd_3,0.012560169
char_svd_4,0.011412352
num_positive_words,0.009756223
has_liked,0.008984443
num_negative_words,0.008694393
has_not_recommend,0.007856191
avg_exclaims_per_sentence,0.007830025
has_recommend,0.007542712
char_svd_8,0.0075016646
word_svd_6,0.007109469
num_exclaims,0.006857966
has_mismatch,0.0067062587
word_svd_1,0.006699944
word_svd_2,0.0053678337
char_svd_35,0.005200919
word_svd_22,0.005115891
has_strong_positive_phrase,0.0049933316
neg_words_per_word,0.004717248
num_chars,0.004146929
has_ellipsis,0.0040389155
word_svd_5,0.003995919
num_repeated_chars,0.003909417
num_mixed_punct,0.0035422773
char_svd_33,0.003529117
char_svd_15,0.003501114
char_svd_14,0.0034329374
unique_ratio,0.0033796218
char_svd_2,0.0033215685
has_refund,0.0032756734
char_svd_34,0.0031938346
digit_ratio,0.0031751543
class_1_top_match_ratio,0.003112981
has_good_quality,0.0030994378
word_svd_30,0.003081308
char_svd_6,0.0030605737
num_quality_words,0.0029916859
word_svd_36,0.0029883676
word_svd_35,0.0029261832
word_svd_17,0.0028898565
char_svd_25,0.0027503485
repeat_chars_per_word,0.0027345407
num_digits,0.0026958787
word_svd_25,0.0026510116
word_svd_78,0.0026253555
char_svd_5,0.0025964172
num_size_words,0.002550103
class_0_top_unique_match_count,0.0024833675
char_svd_12,0.002451638
questions_per_word,0.002410706
has_size_issue,0.00235677
word_svd_7,0.002328717
word_svd_4,0.0023218675
word_svd_37,0.0022981593
word_svd_14,0.0021938651
num_delivery_words,0.0021901028
word_svd_34,0.0021863398
num_short_words,0.0021724582
char_svd_59,0.0021697725
avg_sentence_len_words,0.0021524944
has_many_exclaims,0.0021321082
word_svd_18,0.002119219
num_brackets,0.0021081085
num_words_raw,0.0020657084
word_svd_58,0.0020321528
max_char_repeat,0.002005606
class_0_top_match_count,0.0020023554
char_svd_17,0.001946808
char_svd_3,0.001939376
word_svd_11,0.0019311626
word_svd_29,0.0019285564
word_svd_12,0.0019183817
char_svd_39,0.0019183307
word_svd_42,0.0019178614
char_svd_7,0.0019062576
punct_per_word,0.0019003226
word_svd_31,0.0018943797
word_svd_41,0.0018873983
char_svd_109,0.0018787513
char_svd_21,0.0018730043
punct_ratio,0.0018702855
char_svd_13,0.0018589698
char_svd_32,0.0018521479
word_svd_16,0.001848901
char_svd_82,0.0018394762
num_unique_words,0.0018148393
word_svd_54,0.001809679
char_svd_47,0.0017869724
num_spaces,0.0017845338
class_1_top_unique_match_count,0.0017742087
word_svd_101,0.001771196
word_svd_33,0.0017700105
char_svd_55,0.0017674782
word_svd_15,0.0017658278
char_svd_44,0.0017622162
word_svd_0,0.0017467284
word_svd_93,0.0017403055
class_0_has_top_word,0.001727717
word_svd_136,0.0017263574
num_questions,0.0017199945
word_svd_61,0.0017130077
char_svd_54,0.001709438
word_svd_13,0.0017075776
