feature,baseline_macro_f1,importance_mean,importance_std,score_after_permutation_mean
char_svd_4,0.7272662318711288,0.0076329516643701915,0.002171231468947998,0.7196332802067587
pos_neg_top_diff,0.7272662318711288,0.007230009773001589,0.002992471416266634,0.7200362220981272
word_svd_3,0.7272662318711288,0.006267774388968394,0.0017421594419704432,0.7209984574821604
word_svd_6,0.7272662318711288,0.005700401441178449,0.0019485129371709282,0.7215658304299504
char_svd_8,0.7272662318711288,0.005481144410208016,0.0015673479555322794,0.7217850874609208
exclaims_per_word,0.7272662318711288,0.0051673542331093,0.0019632518844304326,0.7220988776380195
char_svd_34,0.7272662318711288,0.004482506044784995,0.0006953175719460372,0.7227837258263439
char_svd_35,0.7272662318711288,0.004345498844214912,0.0028933588691422633,0.722920733026914
char_svd_1,0.7272662318711288,0.004022001535510733,0.002540087298076668,0.7232442303356181
char_svd_82,0.7272662318711288,0.0038649091189014717,0.0008287697484664864,0.7234013227522273
num_chars,0.7272662318711288,0.003415716089110221,0.0017600934353622897,0.7238505157820186
char_svd_25,0.7272662318711288,0.0033346471820966616,0.0015223964646945993,0.7239315846890322
word_svd_58,0.7272662318711288,0.003173190669390302,0.0011808581658693366,0.7240930412017386
char_svd_56,0.7272662318711288,0.0030958520622967668,0.0008007015965612463,0.724170379808832
char_svd_14,0.7272662318711288,0.003069400291478175,0.001498495869601659,0.7241968315796506
word_svd_33,0.7272662318711288,0.0029842337822393095,0.001268813143122908,0.7242819980888895
word_svd_119,0.7272662318711288,0.002751310207202362,0.0011723491523344433,0.7245149216639265
word_svd_93,0.7272662318711288,0.0026658063276809195,0.0006257289539245343,0.724600425543448
word_svd_4,0.7272662318711288,0.0026379508818704656,0.0008010458149694632,0.7246282809892584
word_svd_74,0.7272662318711288,0.002629735184549964,0.0015462953314092547,0.7246364966865788
has_not_recommend,0.7272662318711288,0.0025955454860831172,0.0010101974013889926,0.7246706863850457
word_svd_101,0.7272662318711288,0.002525573753589372,0.0009489832514075074,0.7247406581175394
num_negations,0.7272662318711288,0.002451961174078998,0.0017907540605816296,0.7248142706970498
word_svd_25,0.7272662318711288,0.0022148675972722743,0.0018965941976332801,0.7250513642738565
word_svd_78,0.7272662318711288,0.002203113957182157,0.0006720622313177533,0.7250631179139466
word_svd_112,0.7272662318711288,0.002199360009882567,0.0010712212225415635,0.7250668718612463
word_svd_12,0.7272662318711288,0.0021605551191746786,0.0011249639893390524,0.7251056767519541
