feature,mean_abs_shap
pos_neg_top_diff,0.29074284
word_svd_3,0.1578538
char_svd_1,0.12420785
num_negations,0.123244956
char_svd_4,0.10024216
word_svd_6,0.0944865
word_svd_22,0.09113048
char_svd_8,0.0748734
word_svd_1,0.06701895
char_svd_2,0.0539683
word_svd_5,0.050587356
char_svd_34,0.049152054
num_chars,0.044870034
char_svd_15,0.043967377
word_svd_78,0.040902972
word_svd_2,0.040767387
word_svd_35,0.03916545
char_svd_33,0.03805188
char_svd_35,0.037911084
word_svd_190,0.03684894
exclaims_per_word,0.036580313
pos_words_per_word,0.036379505
char_svd_25,0.035801075
word_svd_25,0.033330295
char_svd_5,0.0332055
word_svd_30,0.03209308
char_svd_14,0.030857025
word_svd_36,0.03062165
has_not_recommend,0.030271081
sentiment_lexicon_diff,0.030005299
unique_ratio,0.02977648
char_svd_12,0.02958072
word_svd_196,0.026657391
digit_ratio,0.026559867
word_svd_58,0.025443776
word_svd_101,0.024892714
punct_ratio,0.024450336
word_svd_53,0.024054281
word_svd_17,0.024026154
char_svd_13,0.022376835
char_svd_118,0.021934986
word_svd_67,0.021664385
char_svd_6,0.021655187
class_1_top_match_ratio,0.021597048
word_svd_122,0.021571003
word_svd_41,0.021462336
char_svd_109,0.021182928
char_svd_76,0.02103303
lexicon_balance_ratio,0.02025184
word_svd_37,0.020081013
char_svd_111,0.020012375
word_svd_34,0.019878967
char_svd_44,0.019565903
word_svd_7,0.018900532
word_svd_39,0.018768463
word_svd_42,0.018615726
word_svd_81,0.018524125
char_svd_55,0.018276649
char_svd_54,0.018276086
word_svd_98,0.017895397
char_svd_21,0.017275408
word_svd_24,0.01706638
char_svd_82,0.016759772
char_svd_100,0.016504008
char_svd_3,0.016493162
uppercase_ratio,0.016444763
word_svd_93,0.016374167
char_svd_7,0.01631259
char_svd_56,0.01622876
word_svd_72,0.016217811
char_svd_81,0.016217513
word_svd_136,0.015974978
word_svd_76,0.015873175
punct_per_word,0.015865076
word_svd_11,0.015756303
char_svd_17,0.015508409
char_svd_39,0.015323669
char_svd_145,0.014906413
word_svd_31,0.014845217
char_svd_73,0.0145129915
char_svd_113,0.014493178
word_svd_153,0.014411816
word_svd_159,0.014298215
word_svd_0,0.014045243
has_strong_positive_phrase,0.013968299
word_svd_127,0.013936721
word_svd_12,0.01368344
word_svd_33,0.013584651
char_svd_136,0.013483841
word_svd_54,0.013428975
word_svd_74,0.013383656
num_brackets,0.013307762
word_svd_57,0.013078729
word_svd_14,0.012980827
word_svd_178,0.012928529
word_svd_4,0.01285372
has_recommend,0.012818093
word_svd_115,0.012674508
word_svd_120,0.012411004
char_svd_115,0.012382481
word_svd_29,0.012345523
has_mismatch,0.012338899
