feature,family,component_index,model_importance,explained_variance_ratio,top_positive_terms,top_positive_weights,top_negative_terms,top_negative_weights,description
char_svd_0,char_svd,0,0.0842726586713974,0.008511748592635027, не | не  |  пр |  не  |  по | ень | на  |  на |  за | при |  то |  при | но  |  на  |  ра,0.096411 | 0.092393 | 0.089080 | 0.087825 | 0.079070 | 0.074035 | 0.070248 | 0.070089 | 0.068272 | 0.065741 | 0.064191 | 0.063820 | 0.062738 | 0.062602 | 0.062393, the  | the  |  the | he  | the |  th | !!!!!!! | !!!!!! | слишко | слишк | слишком | лишком | слиш | лишко | ишком,0.000990 | 0.000997 | 0.001020 | 0.001037 | 0.001071 | 0.001355 | 0.002192 | 0.003302 | 0.003494 | 0.003494 | 0.003494 | 0.003497 | 0.003497 | 0.003501 | 0.003504,positive side:  не | не  |  пр |  не  |  по | ень | на  |  на |  за | при |  то |  при | но  |  на  |  ра; negative side:  the  | the  |  the | he  | the |  th | !!!!!!! | !!!!!! | слишко | слишк | слишком | лишком | слиш | лишко | ишком
char_svd_1,char_svd,1,2.667620364488821,0.03000433486637302,верну |  верну |  верн | ерну | рнул | ернул | вернул | рну |  вернул | деньг | ньг | еньг | деньги | еньги | ньги,0.110210 | 0.110061 | 0.109938 | 0.109608 | 0.109552 | 0.109542 | 0.109541 | 0.109237 | 0.109001 | 0.108924 | 0.108919 | 0.108918 | 0.108913 | 0.108907 | 0.108906,ств |  ка | мер | азм | разм | змер | азме | разме | азмер | размер | зме |  разм |  разме |  размер | кач,-0.052394 | -0.047271 | -0.046521 | -0.045898 | -0.045888 | -0.045879 | -0.045856 | -0.045847 | -0.045829 | -0.045821 | -0.045655 | -0.044993 | -0.044956 | -0.044936 | -0.044348,positive side: верну |  верну |  верн | ерну | рнул | ернул | вернул | рну |  вернул | деньг | ньг | еньг | деньги | еньги | ньги; negative side: ств |  ка | мер | азм | разм | змер | азме | разме | азмер | размер | зме |  разм |  разме |  размер | кач
char_svd_2,char_svd,2,0.8763864417449168,0.01862719291874995,оотв | соотв | оотве | соотве | соот | оот | оответ | соответ | оответс | ответс | тветс | ветс |  соотв |  соотве |  соот,0.125449 | 0.125399 | 0.125350 | 0.125300 | 0.125199 | 0.125148 | 0.125088 | 0.125038 | 0.124972 | 0.124836 | 0.124835 | 0.124573 | 0.123161 | 0.123092 | 0.122965, до | оче | очен | чень | очень |  оч |  оче |  очен |  очень | дос | дост | чен | ень  | доста | оста,-0.033701 | -0.027853 | -0.027795 | -0.027772 | -0.027757 | -0.027420 | -0.027247 | -0.027202 | -0.027170 | -0.027044 | -0.027042 | -0.027041 | -0.026986 | -0.026937 | -0.026778,positive side: оотв | соотв | оотве | соотве | соот | оот | оответ | соответ | оответс | ответс | тветс | ветс |  соотв |  соотве |  соот; negative side:  до | оче | очен | чень | очень |  оч |  оче |  очен |  очень | дос | дост | чен | ень  | доста | оста
char_svd_3,char_svd,3,0.3993551594125845,0.015494074309313717,ачест | качес | качест | каче | ачеств | качеств | кач | ачес | честв | еств | чест | ачество | чество | ество |  качес,0.144828 | 0.144816 | 0.144786 | 0.144743 | 0.144737 | 0.144694 | 0.144542 | 0.144506 | 0.144465 | 0.143110 | 0.142939 | 0.141997 | 0.141847 | 0.141631 | 0.140838,каз |  ра |  раз | раз | ла  | зак | ала | ака |  на | зака |  зак | аказ | заказ | мер |  зака,-0.049907 | -0.046321 | -0.044787 | -0.044600 | -0.044282 | -0.043696 | -0.043423 | -0.043334 | -0.043035 | -0.042824 | -0.042818 | -0.042810 | -0.042774 | -0.042457 | -0.041908,positive side: ачест | качес | качест | каче | ачеств | качеств | кач | ачес | честв | еств | чест | ачество | чество | ество |  качес; negative side: каз |  ра |  раз | раз | ла  | зак | ала | ака |  на | зака |  зак | аказ | заказ | мер |  зака
char_svd_4,char_svd,4,2.9202565668686726,0.013021737964159433,ода | прод | одав | родав | продав | рода | прода | достав | дав | доста | род | дост |  прод | дос | сибо,0.083007 | 0.081357 | 0.080919 | 0.080888 | 0.080882 | 0.080712 | 0.080651 | 0.080421 | 0.079991 | 0.079385 | 0.079322 | 0.078998 | 0.078901 | 0.078878 | 0.078764,ень |  ка | мал |  ма | во  |  мал | ство  | тво  | чество  | ество  |  кач |  каче | ачес | кач |  качест,-0.052614 | -0.046269 | -0.045826 | -0.044907 | -0.042321 | -0.042295 | -0.041791 | -0.041786 | -0.041737 | -0.041733 | -0.041673 | -0.041661 | -0.041642 | -0.041640 | -0.041637,positive side: ода | прод | одав | родав | продав | рода | прода | достав | дав | доста | род | дост |  прод | дос | сибо; negative side: ень |  ка | мал |  ма | во  |  мал | ство  | тво  | чество  | ество  |  кач |  каче | ачес | кач |  качест
char_svd_5,char_svd,5,1.0828482974981457,0.01164755486581917,змер | азмер | размер | азме | разме | азм | разм | зме |  размер |  разме |  разм | мер |  раз | раз |  ра,0.128934 | 0.128908 | 0.128879 | 0.128837 | 0.128804 | 0.128633 | 0.128607 | 0.128142 | 0.128065 | 0.127996 | 0.127806 | 0.125741 | 0.117648 | 0.112047 | 0.106675,нь  | синт | нте | инт | инте | синте | нтет | нтети | интет | синтет | тети | тет | синтети | интети |  синт,-0.062079 | -0.058197 | -0.058184 | -0.058158 | -0.058116 | -0.058113 | -0.058068 | -0.057982 | -0.057976 | -0.057976 | -0.057946 | -0.057938 | -0.057890 | -0.057890 | -0.056506,positive side: змер | азмер | размер | азме | разме | азм | разм | зме |  размер |  разме |  разм | мер |  раз | раз |  ра; negative side: нь  | синт | нте | инт | инте | синте | нтет | нтети | интет | синтет | тети | тет | синтети | интети |  синт
char_svd_6,char_svd,6,0.4069416135635705,0.011266318866598837,ень | нь  | очень  | чень  | очень | чень | очен | ень  |  очень  |  очень |  очен |  оче |  оч | оче | чен,0.093818 | 0.082728 | 0.080887 | 0.080879 | 0.080382 | 0.080374 | 0.079912 | 0.079567 | 0.079497 | 0.078971 | 0.078918 | 0.078782 | 0.078723 | 0.075105 | 0.074735,прод | род | про | прода | рода |  прод | одав | продав | родав | дав | ода |  про |  прода |  продав | даве,-0.067918 | -0.067790 | -0.067007 | -0.065630 | -0.065537 | -0.065373 | -0.065211 | -0.065178 | -0.065173 | -0.064954 | -0.064317 | -0.063461 | -0.062976 | -0.062648 | -0.060961,positive side: ень | нь  | очень  | чень  | очень | чень | очен | ень  |  очень  |  очень |  очен |  оче |  оч | оче | чен; negative side: прод | род | про | прода | рода |  прод | одав | продав | родав | дав | ода |  про |  прода |  продав | даве
char_svd_7,char_svd,7,0.4456873217678522,0.009522520361401388,чень | очень | очен |  очен |  очень |  оче | чень  | очень  |  оч | ень  | чен |  очень  | оче | нь  | ень,0.158827 | 0.158815 | 0.157976 | 0.156543 | 0.156526 | 0.156400 | 0.156175 | 0.156162 | 0.155977 | 0.154287 | 0.153976 | 0.153853 | 0.151689 | 0.136798 | 0.119693,отли | тлич | отлич | отл | тли |  отлич |  отли |  отл | лич | тличн | отличн |  отличн | личн | ичн | отлично,-0.104153 | -0.104149 | -0.104149 | -0.104024 | -0.103627 | -0.103605 | -0.103604 | -0.103480 | -0.102523 | -0.102463 | -0.102463 | -0.101919 | -0.101731 | -0.099328 | -0.077783,positive side: чень | очень | очен |  очен |  очень |  оче | чень  | очень  |  оч | ень  | чен |  очень  | оче | нь  | ень; negative side: отли | тлич | отлич | отл | тли |  отлич |  отли |  отл | лич | тличн | отличн |  отличн | личн | ичн | отлично
char_svd_8,char_svd,8,2.343089513640336,0.009456997419482522,достав | доста | остав | дост | дос | став | тав |  достав | тавк | ставк |  доста | оставк | доставк |  дост |  дос,0.119077 | 0.118178 | 0.117787 | 0.117577 | 0.117451 | 0.116606 | 0.116287 | 0.114947 | 0.114677 | 0.114665 | 0.114587 | 0.114577 | 0.114556 | 0.114108 | 0.114064,паси | сибо | асиб | пасиб | асибо | пасибо | спас | спаси | спасиб | спасибо | сиб | пас | спа | ибо | отли,-0.084607 | -0.084606 | -0.084555 | -0.084542 | -0.084519 | -0.084501 | -0.084487 | -0.084478 | -0.084434 | -0.084395 | -0.083860 | -0.083721 | -0.083450 | -0.083416 | -0.082966,positive side: достав | доста | остав | дост | дос | став | тав |  достав | тавк | ставк |  доста | оставк | доставк |  дост |  дос; negative side: паси | сибо | асиб | пасиб | асибо | пасибо | спас | спаси | спасиб | спасибо | сиб | пас | спа | ибо | отли
char_svd_9,char_svd,9,0.2280394261456782,0.008882067478044367,заказ | аказ | зака |  заказ | ака |  зака | зак | приш | риш |  зак |  приш | каз | нтет | тети | нтети,0.103944 | 0.103941 | 0.103268 | 0.101132 | 0.100747 | 0.100463 | 0.098437 | 0.096223 | 0.096164 | 0.095643 | 0.094999 | 0.091549 | 0.088197 | 0.088110 | 0.088080,отк | коро |  коро | корот | ротк | оротк | коротк |  корот | орот |  коротк |  кор | кор | рот | оро |  ко,-0.067343 | -0.065429 | -0.065057 | -0.064914 | -0.064721 | -0.064692 | -0.064688 | -0.064236 | -0.064099 | -0.064037 | -0.063922 | -0.063358 | -0.062949 | -0.061883 | -0.053076,positive side: заказ | аказ | зака |  заказ | ака |  зака | зак | приш | риш |  зак |  приш | каз | нтет | тети | нтети; negative side: отк | коро |  коро | корот | ротк | оротк | коротк |  корот | орот |  коротк |  кор | кор | рот | оро |  ко
