feature,family,component_index,model_importance,explained_variance_ratio,top_positive_terms,top_positive_weights,top_negative_terms,top_negative_weights,description
word_svd_3,word_svd,3,4.432430875255866,0.004911976009747324,соответствует | не соответствует | не | размер не | размер | размер не соответствует | описанию | соответствует описанию | не соответствует описанию | фото | цвет | цвет не | на | на фото | картинке,0.402751 | 0.383708 | 0.231094 | 0.184315 | 0.168847 | 0.167288 | 0.151705 | 0.146427 | 0.121158 | 0.077727 | 0.065949 | 0.053991 | 0.052631 | 0.051366 | 0.048340,спасибо | качество | доставка | супер | хорошее | быстрая | очень | продавцу | спасибо продавцу | качество хорошее | отлично | все | за | быстрая доставка | быстро,-0.264903 | -0.217762 | -0.182560 | -0.170879 | -0.148395 | -0.143967 | -0.134034 | -0.121238 | -0.107865 | -0.097134 | -0.092484 | -0.091217 | -0.084697 | -0.080732 | -0.073853,positive side: соответствует | не соответствует | не | размер не | размер | размер не соответствует | описанию | соответствует описанию | не соответствует описанию | фото | цвет | цвет не | на | на фото | картинке; negative side: спасибо | качество | доставка | супер | хорошее | быстрая | очень | продавцу | спасибо продавцу | качество хорошее | отлично | все | за | быстрая доставка | быстро
char_svd_4,char_svd,4,2.9202565668686726,0.013021737964159433,ода | прод | одав | родав | продав | рода | прода | достав | дав | доста | род | дост |  прод | дос | сибо,0.083007 | 0.081357 | 0.080919 | 0.080888 | 0.080882 | 0.080712 | 0.080651 | 0.080421 | 0.079991 | 0.079385 | 0.079322 | 0.078998 | 0.078901 | 0.078878 | 0.078764,ень |  ка | мал |  ма | во  |  мал | ство  | тво  | чество  | ество  |  кач |  каче | ачес | кач |  качест,-0.052614 | -0.046269 | -0.045826 | -0.044907 | -0.042321 | -0.042295 | -0.041791 | -0.041786 | -0.041737 | -0.041733 | -0.041673 | -0.041661 | -0.041642 | -0.041640 | -0.041637,positive side: ода | прод | одав | родав | продав | рода | прода | достав | дав | доста | род | дост |  прод | дос | сибо; negative side: ень |  ка | мал |  ма | во  |  мал | ство  | тво  | чество  | ество  |  кач |  каче | ачес | кач |  качест
char_svd_1,char_svd,1,2.667620364488821,0.03000433486637302,верну |  верну |  верн | ерну | рнул | ернул | вернул | рну |  вернул | деньг | ньг | еньг | деньги | еньги | ньги,0.110210 | 0.110061 | 0.109938 | 0.109608 | 0.109552 | 0.109542 | 0.109541 | 0.109237 | 0.109001 | 0.108924 | 0.108919 | 0.108918 | 0.108913 | 0.108907 | 0.108906,ств |  ка | мер | азм | разм | змер | азме | разме | азмер | размер | зме |  разм |  разме |  размер | кач,-0.052394 | -0.047271 | -0.046521 | -0.045898 | -0.045888 | -0.045879 | -0.045856 | -0.045847 | -0.045829 | -0.045821 | -0.045655 | -0.044993 | -0.044956 | -0.044936 | -0.044348,positive side: верну |  верну |  верн | ерну | рнул | ернул | вернул | рну |  вернул | деньг | ньг | еньг | деньги | еньги | ньги; negative side: ств |  ка | мер | азм | разм | змер | азме | разме | азмер | размер | зме |  разм |  разме |  размер | кач
char_svd_8,char_svd,8,2.343089513640336,0.009456997419482522,достав | доста | остав | дост | дос | став | тав |  достав | тавк | ставк |  доста | оставк | доставк |  дост |  дос,0.119077 | 0.118178 | 0.117787 | 0.117577 | 0.117451 | 0.116606 | 0.116287 | 0.114947 | 0.114677 | 0.114665 | 0.114587 | 0.114577 | 0.114556 | 0.114108 | 0.114064,паси | сибо | асиб | пасиб | асибо | пасибо | спас | спаси | спасиб | спасибо | сиб | пас | спа | ибо | отли,-0.084607 | -0.084606 | -0.084555 | -0.084542 | -0.084519 | -0.084501 | -0.084487 | -0.084478 | -0.084434 | -0.084395 | -0.083860 | -0.083721 | -0.083450 | -0.083416 | -0.082966,positive side: достав | доста | остав | дост | дос | став | тав |  достав | тавк | ставк |  доста | оставк | доставк |  дост |  дос; negative side: паси | сибо | асиб | пасиб | асибо | пасибо | спас | спаси | спасиб | спасибо | сиб | пас | спа | ибо | отли
word_svd_22,word_svd,22,1.9389151728423504,0.0024097067263471332,быстро | получила | не получила | хорошее | описанию | деньги не вернули | деньги не | заказ | соответствует описанию | не вернули | качество хорошее | хорошо | товар | ткань | рекомендую,0.259838 | 0.236581 | 0.222870 | 0.154288 | 0.150761 | 0.147280 | 0.145491 | 0.145084 | 0.144972 | 0.141707 | 0.122270 | 0.118193 | 0.113257 | 0.111882 | 0.111141,спасибо | деньги вернули | размер | размер не | не очень | отлично | что | качество не | спор | то | качество не очень | деньги | размер не соответствует | не | продавцу,-0.207262 | -0.201996 | -0.161357 | -0.134867 | -0.134380 | -0.127121 | -0.101129 | -0.100010 | -0.093165 | -0.092115 | -0.087126 | -0.084232 | -0.083312 | -0.081865 | -0.080970,positive side: быстро | получила | не получила | хорошее | описанию | деньги не вернули | деньги не | заказ | соответствует описанию | не вернули | качество хорошее | хорошо | товар | ткань | рекомендую; negative side: спасибо | деньги вернули | размер | размер не | не очень | отлично | что | качество не | спор | то | качество не очень | деньги | размер не соответствует | не | продавцу
word_svd_6,word_svd,6,1.828566087295588,0.0039719713441207965,качество | хорошее | не очень | очень | качество не | качество хорошее | качество не очень | не | как | плохое | ужасное | синтетика | нитки | как на | торчат,0.401094 | 0.162286 | 0.159823 | 0.141505 | 0.118728 | 0.113683 | 0.097364 | 0.097122 | 0.089458 | 0.087226 | 0.084534 | 0.081185 | 0.078669 | 0.076846 | 0.074455,спасибо | соответствует | супер | продавцу | спасибо продавцу | отлично | не соответствует | все | доставка | описанию | соответствует описанию | быстрая | продавец | размер | размеру,-0.393563 | -0.200927 | -0.192331 | -0.175303 | -0.156310 | -0.146917 | -0.146329 | -0.142358 | -0.133141 | -0.116704 | -0.113818 | -0.105386 | -0.104831 | -0.087470 | -0.076598,positive side: качество | хорошее | не очень | очень | качество не | качество хорошее | качество не очень | не | как | плохое | ужасное | синтетика | нитки | как на | торчат; negative side: спасибо | соответствует | супер | продавцу | спасибо продавцу | отлично | не соответствует | все | доставка | описанию | соответствует описанию | быстрая | продавец | размер | размеру
word_svd_1,word_svd,1,1.5284928295756328,0.010038951976697703,товар не | вернули | деньги | товар | не пришёл | пришёл | товар не пришёл | деньги вернули | не пришел | пришел | товар не пришел | пришёл деньги | не пришёл деньги | не вернули | деньги не,0.271747 | 0.247863 | 0.247810 | 0.246311 | 0.207170 | 0.181023 | 0.169653 | 0.164702 | 0.161061 | 0.128730 | 0.126267 | 0.116581 | 0.116372 | 0.114625 | 0.112079,на | очень | размер | качество | как | но | доставка | по | все | ткань | фото | спасибо | хорошее | соответствует | за,-0.229459 | -0.174498 | -0.156276 | -0.135975 | -0.108535 | -0.092047 | -0.088395 | -0.078820 | -0.073049 | -0.073010 | -0.070089 | -0.066175 | -0.064972 | -0.062577 | -0.061462,positive side: товар не | вернули | деньги | товар | не пришёл | пришёл | товар не пришёл | деньги вернули | не пришел | пришел | товар не пришел | пришёл деньги | не пришёл деньги | не вернули | деньги не; negative side: на | очень | размер | качество | как | но | доставка | по | все | ткань | фото | спасибо | хорошее | соответствует | за
char_svd_5,char_svd,5,1.0828482974981457,0.01164755486581917,змер | азмер | размер | азме | разме | азм | разм | зме |  размер |  разме |  разм | мер |  раз | раз |  ра,0.128934 | 0.128908 | 0.128879 | 0.128837 | 0.128804 | 0.128633 | 0.128607 | 0.128142 | 0.128065 | 0.127996 | 0.127806 | 0.125741 | 0.117648 | 0.112047 | 0.106675,нь  | синт | нте | инт | инте | синте | нтет | нтети | интет | синтет | тети | тет | синтети | интети |  синт,-0.062079 | -0.058197 | -0.058184 | -0.058158 | -0.058116 | -0.058113 | -0.058068 | -0.057982 | -0.057976 | -0.057976 | -0.057946 | -0.057938 | -0.057890 | -0.057890 | -0.056506,positive side: змер | азмер | размер | азме | разме | азм | разм | зме |  размер |  разме |  разм | мер |  раз | раз |  ра; negative side: нь  | синт | нте | инт | инте | синте | нтет | нтети | интет | синтет | тети | тет | синтети | интети |  синт
word_svd_5,word_svd,5,1.081029636989845,0.004261247512140789,на | товар не | товар не пришел | как | как на | пришел | не пришел | на фото | фото | товар | размер | товар не пришёл | пришел деньги | не пришел деньги | как на фото,0.290577 | 0.213178 | 0.182156 | 0.164329 | 0.161011 | 0.155776 | 0.152299 | 0.136948 | 0.128866 | 0.124266 | 0.120899 | 0.102901 | 0.102728 | 0.102575 | 0.094539,качество | не | так не | так | продавец | не получила | получила | спор | соответствует | хорошее | заказ | не соответствует | очень | не очень | открыла,-0.269396 | -0.176828 | -0.163620 | -0.155694 | -0.149914 | -0.128800 | -0.126615 | -0.124833 | -0.118161 | -0.116490 | -0.112625 | -0.108931 | -0.087111 | -0.080396 | -0.079246,positive side: на | товар не | товар не пришел | как | как на | пришел | не пришел | на фото | фото | товар | размер | товар не пришёл | пришел деньги | не пришел деньги | как на фото; negative side: качество | не | так не | так | продавец | не получила | получила | спор | соответствует | хорошее | заказ | не соответствует | очень | не очень | открыла
char_svd_34,char_svd,34,0.9672266326428812,0.004803616823157615,суп | упе | супе |  суп |  супе | упер | супер |  супер |  су | пер | пер  | ер! | бол | ольш | больш,0.256643 | 0.256334 | 0.256068 | 0.255536 | 0.254996 | 0.254421 | 0.253917 | 0.252842 | 0.241035 | 0.193702 | 0.150835 | 0.078417 | 0.070467 | 0.065690 | 0.065665, сп | спор | кры |  спор | спо |  спо | пор | ткр | откр | ткры | откры |  отк |  откр |  откры | рыл,-0.058031 | -0.052104 | -0.051153 | -0.050994 | -0.050953 | -0.050437 | -0.050362 | -0.046573 | -0.046538 | -0.046419 | -0.046390 | -0.042953 | -0.042918 | -0.042765 | -0.041444,positive side: суп | упе | супе |  суп |  супе | упер | супер |  супер |  су | пер | пер  | ер! | бол | ольш | больш; negative side:  сп | спор | кры |  спор | спо |  спо | пор | ткр | откр | ткры | откры |  отк |  откр |  откры | рыл
