feature,family,component_index,model_importance,explained_variance_ratio,top_positive_terms,top_positive_weights,top_negative_terms,top_negative_weights,description
word_svd_0,word_svd,0,0.2345746503557102,0.0038868171417334478,не | на | товар | деньги | очень | товар не | но | вернули | размер | пришёл | продавец | пришел | качество | не пришёл | так,0.403649 | 0.231862 | 0.209402 | 0.199144 | 0.185118 | 0.158872 | 0.158694 | 0.157846 | 0.140404 | 0.127421 | 0.124033 | 0.116705 | 0.115996 | 0.113697 | 0.112945,ð¾ð | ðºð | ð¾ñ | the picture | picture | there is | is good | ok | than | there | material | match | but the | the quality is | very good,0.000008 | 0.000013 | 0.000014 | 0.000026 | 0.000027 | 0.000043 | 0.000046 | 0.000051 | 0.000057 | 0.000063 | 0.000063 | 0.000072 | 0.000076 | 0.000079 | 0.000082,positive side: не | на | товар | деньги | очень | товар не | но | вернули | размер | пришёл | продавец | пришел | качество | не пришёл | так; negative side: ð¾ð | ðºð | ð¾ñ | the picture | picture | there is | is good | ok | than | there | material | match | but the | the quality is | very good
word_svd_1,word_svd,1,1.5284928295756328,0.010038951976697703,товар не | вернули | деньги | товар | не пришёл | пришёл | товар не пришёл | деньги вернули | не пришел | пришел | товар не пришел | пришёл деньги | не пришёл деньги | не вернули | деньги не,0.271747 | 0.247863 | 0.247810 | 0.246311 | 0.207170 | 0.181023 | 0.169653 | 0.164702 | 0.161061 | 0.128730 | 0.126267 | 0.116581 | 0.116372 | 0.114625 | 0.112079,на | очень | размер | качество | как | но | доставка | по | все | ткань | фото | спасибо | хорошее | соответствует | за,-0.229459 | -0.174498 | -0.156276 | -0.135975 | -0.108535 | -0.092047 | -0.088395 | -0.078820 | -0.073049 | -0.073010 | -0.070089 | -0.066175 | -0.064972 | -0.062577 | -0.061462,positive side: товар не | вернули | деньги | товар | не пришёл | пришёл | товар не пришёл | деньги вернули | не пришел | пришел | товар не пришел | пришёл деньги | не пришёл деньги | не вернули | деньги не; negative side: на | очень | размер | качество | как | но | доставка | по | все | ткань | фото | спасибо | хорошее | соответствует | за
word_svd_2,word_svd,2,0.6342094588815337,0.005266094152094647,пришёл | не пришёл | товар не пришёл | пришёл деньги | не пришёл деньги | пришёл деньги вернули | пришёл деньги не | качество | заказ не пришёл | товар не | хорошее | доставка | очень | размер | пришёл продавец,0.376808 | 0.374312 | 0.316193 | 0.210716 | 0.210374 | 0.140492 | 0.085851 | 0.083774 | 0.059399 | 0.059174 | 0.046445 | 0.042457 | 0.040317 | 0.039948 | 0.036161,не пришел | пришел | товар не пришел | пришел деньги | не пришел деньги | пришел деньги вернули | заказ не пришел | так не пришел | пришел деньги не | так | заказ | так не | продавец | спор | не,-0.357340 | -0.357168 | -0.243120 | -0.167425 | -0.167043 | -0.108372 | -0.094219 | -0.067168 | -0.065171 | -0.065070 | -0.063175 | -0.060477 | -0.057098 | -0.052496 | -0.050436,positive side: пришёл | не пришёл | товар не пришёл | пришёл деньги | не пришёл деньги | пришёл деньги вернули | пришёл деньги не | качество | заказ не пришёл | товар не | хорошее | доставка | очень | размер | пришёл продавец; negative side: не пришел | пришел | товар не пришел | пришел деньги | не пришел деньги | пришел деньги вернули | заказ не пришел | так не пришел | пришел деньги не | так | заказ | так не | продавец | спор | не
word_svd_3,word_svd,3,4.432430875255866,0.004911976009747324,соответствует | не соответствует | не | размер не | размер | размер не соответствует | описанию | соответствует описанию | не соответствует описанию | фото | цвет | цвет не | на | на фото | картинке,0.402751 | 0.383708 | 0.231094 | 0.184315 | 0.168847 | 0.167288 | 0.151705 | 0.146427 | 0.121158 | 0.077727 | 0.065949 | 0.053991 | 0.052631 | 0.051366 | 0.048340,спасибо | качество | доставка | супер | хорошее | быстрая | очень | продавцу | спасибо продавцу | качество хорошее | отлично | все | за | быстрая доставка | быстро,-0.264903 | -0.217762 | -0.182560 | -0.170879 | -0.148395 | -0.143967 | -0.134034 | -0.121238 | -0.107865 | -0.097134 | -0.092484 | -0.091217 | -0.084697 | -0.080732 | -0.073853,positive side: соответствует | не соответствует | не | размер не | размер | размер не соответствует | описанию | соответствует описанию | не соответствует описанию | фото | цвет | цвет не | на | на фото | картинке; negative side: спасибо | качество | доставка | супер | хорошее | быстрая | очень | продавцу | спасибо продавцу | качество хорошее | отлично | все | за | быстрая доставка | быстро
word_svd_4,word_svd,4,0.1959197100261667,0.004808096307026718,качество | соответствует | не соответствует | хорошее | товар не | товар не пришел | пришел | не пришел | доставка | качество хорошее | описанию | соответствует описанию | спасибо | быстрая | размер,0.376897 | 0.294891 | 0.239967 | 0.201995 | 0.161498 | 0.154384 | 0.151522 | 0.147779 | 0.138486 | 0.137865 | 0.134029 | 0.130364 | 0.128872 | 0.119272 | 0.114876,так | что | на | продавец | так не | как | спор | но | то | получила | заказ | не получила | открыла | это | открыла спор,-0.159899 | -0.130748 | -0.123387 | -0.112550 | -0.112063 | -0.105945 | -0.105231 | -0.094328 | -0.082697 | -0.075978 | -0.071735 | -0.071505 | -0.066474 | -0.064593 | -0.063728,positive side: качество | соответствует | не соответствует | хорошее | товар не | товар не пришел | пришел | не пришел | доставка | качество хорошее | описанию | соответствует описанию | спасибо | быстрая | размер; negative side: так | что | на | продавец | так не | как | спор | но | то | получила | заказ | не получила | открыла | это | открыла спор
word_svd_5,word_svd,5,1.081029636989845,0.004261247512140789,на | товар не | товар не пришел | как | как на | пришел | не пришел | на фото | фото | товар | размер | товар не пришёл | пришел деньги | не пришел деньги | как на фото,0.290577 | 0.213178 | 0.182156 | 0.164329 | 0.161011 | 0.155776 | 0.152299 | 0.136948 | 0.128866 | 0.124266 | 0.120899 | 0.102901 | 0.102728 | 0.102575 | 0.094539,качество | не | так не | так | продавец | не получила | получила | спор | соответствует | хорошее | заказ | не соответствует | очень | не очень | открыла,-0.269396 | -0.176828 | -0.163620 | -0.155694 | -0.149914 | -0.128800 | -0.126615 | -0.124833 | -0.118161 | -0.116490 | -0.112625 | -0.108931 | -0.087111 | -0.080396 | -0.079246,positive side: на | товар не | товар не пришел | как | как на | пришел | не пришел | на фото | фото | товар | размер | товар не пришёл | пришел деньги | не пришел деньги | как на фото; negative side: качество | не | так не | так | продавец | не получила | получила | спор | соответствует | хорошее | заказ | не соответствует | очень | не очень | открыла
word_svd_6,word_svd,6,1.828566087295588,0.0039719713441207965,качество | хорошее | не очень | очень | качество не | качество хорошее | качество не очень | не | как | плохое | ужасное | синтетика | нитки | как на | торчат,0.401094 | 0.162286 | 0.159823 | 0.141505 | 0.118728 | 0.113683 | 0.097364 | 0.097122 | 0.089458 | 0.087226 | 0.084534 | 0.081185 | 0.078669 | 0.076846 | 0.074455,спасибо | соответствует | супер | продавцу | спасибо продавцу | отлично | не соответствует | все | доставка | описанию | соответствует описанию | быстрая | продавец | размер | размеру,-0.393563 | -0.200927 | -0.192331 | -0.175303 | -0.156310 | -0.146917 | -0.146329 | -0.142358 | -0.133141 | -0.116704 | -0.113818 | -0.105386 | -0.104831 | -0.087470 | -0.076598,positive side: качество | хорошее | не очень | очень | качество не | качество хорошее | качество не очень | не | как | плохое | ужасное | синтетика | нитки | как на | торчат; negative side: спасибо | соответствует | супер | продавцу | спасибо продавцу | отлично | не соответствует | все | доставка | описанию | соответствует описанию | быстрая | продавец | размер | размеру
word_svd_7,word_svd,7,0.2879611077505458,0.0036649600320560953,очень | товар | не очень | товар не | ткань | тонкая | не | товар не пришел | долго | товар не пришёл | очень тонкая | очень долго | довольна | качество не очень | синтетика,0.513008 | 0.203867 | 0.187670 | 0.167566 | 0.116289 | 0.098517 | 0.084597 | 0.082707 | 0.079662 | 0.078894 | 0.077757 | 0.071577 | 0.063824 | 0.061989 | 0.061773,качество | размер | вернули | хорошее | на | деньги | качество хорошее | не вернули | деньги не вернули | деньги не | деньги вернули | отлично | заказ не | заказ | супер,-0.235709 | -0.220072 | -0.217571 | -0.179558 | -0.159976 | -0.156587 | -0.144913 | -0.135927 | -0.129608 | -0.122888 | -0.112452 | -0.098891 | -0.092856 | -0.085429 | -0.076565,positive side: очень | товар | не очень | товар не | ткань | тонкая | не | товар не пришел | долго | товар не пришёл | очень тонкая | очень долго | довольна | качество не очень | синтетика; negative side: качество | размер | вернули | хорошее | на | деньги | качество хорошее | не вернули | деньги не вернули | деньги не | деньги вернули | отлично | заказ не | заказ | супер
word_svd_8,word_svd,8,0.1090463464737373,0.0035679681324176054,очень | размер | вернули | не вернули | деньги не вернули | деньги не | деньги вернули | не очень | заказ не | деньги | размер не | на размер | заказ | 44 | пришёл деньги,0.323441 | 0.294196 | 0.186798 | 0.122467 | 0.121627 | 0.109220 | 0.101181 | 0.082620 | 0.082003 | 0.081664 | 0.074970 | 0.072428 | 0.072391 | 0.070222 | 0.067572,как | как на | фото | на фото | качество | товар | картинке | как на фото | на картинке | продавец | как на картинке | супер | товар не | вернул | цвет,-0.233722 | -0.224276 | -0.208147 | -0.193189 | -0.188975 | -0.178953 | -0.140258 | -0.139703 | -0.132155 | -0.121838 | -0.111710 | -0.108243 | -0.107999 | -0.101009 | -0.097784,positive side: очень | размер | вернули | не вернули | деньги не вернули | деньги не | деньги вернули | не очень | заказ не | деньги | размер не | на размер | заказ | 44 | пришёл деньги; negative side: как | как на | фото | на фото | качество | товар | картинке | как на фото | на картинке | продавец | как на картинке | супер | товар не | вернул | цвет
word_svd_9,word_svd,9,0.2627295118829926,0.0035340163481688757,размер | товар | продавец | товар не | вернул | качество | но | хорошее | вернул деньги | пришёл | качество хорошее | продавец вернул | продавец вернул деньги | пришел | товар не пришел,0.263795 | 0.211365 | 0.154371 | 0.147777 | 0.127115 | 0.125521 | 0.119495 | 0.109899 | 0.108901 | 0.093519 | 0.091781 | 0.091155 | 0.084651 | 0.084273 | 0.082010,вернули | очень | не вернули | деньги не вернули | как на | спасибо | деньги не | как | фото | на фото | супер | как на фото | деньги | картинке | на картинке,-0.233201 | -0.192598 | -0.185716 | -0.181321 | -0.169743 | -0.169668 | -0.168702 | -0.159920 | -0.156577 | -0.144016 | -0.132251 | -0.108325 | -0.106661 | -0.103959 | -0.096749,positive side: размер | товар | продавец | товар не | вернул | качество | но | хорошее | вернул деньги | пришёл | качество хорошее | продавец вернул | продавец вернул деньги | пришел | товар не пришел; negative side: вернули | очень | не вернули | деньги не вернули | как на | спасибо | деньги не | как | фото | на фото | супер | как на фото | деньги | картинке | на картинке
word_svd_10,word_svd,10,0.1105314934342516,0.003247504545307734,по | размеру | по размеру | все | нитки | торчат | пришло | супер | но | подошло | быстро | отлично | за | качество | платье,0.408531 | 0.392111 | 0.369981 | 0.144374 | 0.107252 | 0.101467 | 0.087744 | 0.083298 | 0.076957 | 0.076062 | 0.064259 | 0.063084 | 0.058101 | 0.057719 | 0.057249,доставка | очень | размер | быстрая | на | так не | так | быстрая доставка | доставка быстрая | как на | продавец | товар так | товар так не | не получила | размер не,-0.225921 | -0.215633 | -0.205786 | -0.175365 | -0.118271 | -0.118126 | -0.099220 | -0.097442 | -0.089918 | -0.075257 | -0.068820 | -0.067048 | -0.066446 | -0.065891 | -0.062337,positive side: по | размеру | по размеру | все | нитки | торчат | пришло | супер | но | подошло | быстро | отлично | за | качество | платье; negative side: доставка | очень | размер | быстрая | на | так не | так | быстрая доставка | доставка быстрая | как на | продавец | товар так | товар так не | не получила | размер не
word_svd_11,word_svd,11,0.0865840443880964,0.0031507778275664078,доставка | быстрая | супер | доставка быстрая | быстрая доставка | не | долгая | не вернули | деньги не | деньги не вернули | товар не | долгая доставка | синтетика | очень быстрая | по,0.445269 | 0.350121 | 0.242040 | 0.191583 | 0.186565 | 0.085064 | 0.084877 | 0.077044 | 0.076093 | 0.073094 | 0.069803 | 0.063555 | 0.061681 | 0.061265 | 0.057920,спасибо | быстро | заказ | продавцу | спасибо продавцу | очень | заказ не | как на | хорошее | пришёл | качество | пришел | как | качество хорошее | очень быстро,-0.373650 | -0.188332 | -0.169017 | -0.152241 | -0.142993 | -0.124060 | -0.094925 | -0.086077 | -0.082467 | -0.082424 | -0.080231 | -0.078311 | -0.064057 | -0.063546 | -0.063201,positive side: доставка | быстрая | супер | доставка быстрая | быстрая доставка | не | долгая | не вернули | деньги не | деньги не вернули | товар не | долгая доставка | синтетика | очень быстрая | по; negative side: спасибо | быстро | заказ | продавцу | спасибо продавцу | очень | заказ не | как на | хорошее | пришёл | качество | пришел | как | качество хорошее | очень быстро
word_svd_12,word_svd,12,0.4067619890657791,0.003016994347941128,супер | все | отлично | все супер | размер | качество супер | не | просто | нитки | торчат | просто супер | пришло | не очень | все отлично | быстро,0.717760 | 0.175176 | 0.124619 | 0.117921 | 0.078874 | 0.066818 | 0.066109 | 0.063588 | 0.059039 | 0.057130 | 0.054605 | 0.054504 | 0.050041 | 0.049710 | 0.049398,доставка | по | размеру | по размеру | быстрая | доставка быстрая | быстрая доставка | спасибо | хорошее | качество хорошее | деньги вернули | долгая | вернули | продавцу | фото,-0.253194 | -0.220259 | -0.212409 | -0.198776 | -0.198257 | -0.114433 | -0.107439 | -0.098032 | -0.097820 | -0.066552 | -0.065870 | -0.049641 | -0.048789 | -0.045631 | -0.042839,positive side: супер | все | отлично | все супер | размер | качество супер | не | просто | нитки | торчат | просто супер | пришло | не очень | все отлично | быстро; negative side: доставка | по | размеру | по размеру | быстрая | доставка быстрая | быстрая доставка | спасибо | хорошее | качество хорошее | деньги вернули | долгая | вернули | продавцу | фото
